patentnumber,title,abstract
9632871,"Reuse of problematic disks in a redundant disk system","A problematic disk within a Redundant Array of Independent Disks (RAID) data storage system can be reused. A first disk within the RAID data storage system can be formatted, initialized, and validated in response to the first disk experiencing a recoverable data storage error. The first disk can be designated as a second-level redundant disk within the RAID data storage system in order for the RAID data storage system to access the first disk in response to success of the validating operation on the first disk. Problematic disks experiencing media errors and/or slow disk errors can be isolated from the RAID data storage system to ensure high reliability of the RAID system."
9635438,"Providing secondary content to accompany a primary content item","While a user views a primary content item (for example, a movie on a television screen), secondary content items are selected and presented to the user, either on the same screen or on a screen of the user's companion device. To choose selections that are relevant to the user's current interests, the selection process considers information beyond the realm of primary and secondary content. Over time, the selection process learns to make more relevant selections by monitoring selection choices made by other systems."
9635580,"Systems and methods for providing mobility aspects to applications in the cloud","An exemplary system according to the present disclosure comprises at least one mobility networking module implemented in at least one lower tier radiolet. The mobility network module performs one or more traffic data plane functions. The exemplary system further comprises at least one mobility application module implemented in at least one upper tier radiolet. The mobility application module performs one or more application data plane functions. The exemplary system further comprises at least one mobility cloud module implemented in the at least one lower tier radiolet and the at least one upper tier radiolet. The mobility cloud module performs computing execution functions of a cloud session."
9639177,"Mobile terminal and method for controlling the same","A mobile terminal is provided that is capable of effectively displaying information to users by utilizing characteristics of a flexible display unit. The mobile terminal includes a flexible display unit configured to display image information on an entire screen; a sensing unit configured to sense a folded state of the flexible display unit; and a control unit configured to divide an entire screen of the flexible display unit into a plurality of screens based on a folded position, rearrange image information according to the plurality of divided screens, and display the rearranged image information on at least one of the plurality of divided screens."
9639194,"In-cell touch display structure","An in-cell touch display structure includes: an upper substrate, a lower substrate, a display material layer configured between the upper and lower substrates, and a thin film transistor and sensing electrode layer. The thin film transistor and sensing electrode layer includes a gate line sub-layer having a plurality of gate lines and a plurality of connection segments separated by the gate lines, and a source line sub-layer having a plurality of source lines, a plurality of sensing conductor lines, and a plurality of sensing conductor segments separated by the source lines and the sensing conductor lines, wherein part of the sensing conductor segments and part of the connection segments are electrically connected together to form a plurality of sensing conductor blocks."
9639430,"Intermediate data backup in an incremental snapshot data backup system to reduce data backup time","Machines, systems and methods for performing intermediate data backups, the method comprising monitoring data updates to one or more data blocks in at least a target data storage medium, wherein the target data storage medium is subject to an incremental data backup routine at prescheduled time intervals; in response to determining that said at least one or more data blocks is updated prior to a prescheduled time interval for the incremental data backup routine, performing one or more intermediate data backups to store data from the updated data blocks to at least one backup data storage medium; and in response to determining that said at least one or more data blocks is updated prior to the prescheduled time interval for the incremental data backup routine but after the last of the intermediate data backups, copying data on one or more updated data blocks after the last of the intermediate data backups to the backup data storage medium."
9639787,"Print orientation of documents based on device sensor output","This is directed to defining the orientation in which a document is printed from the orientation of the device on which the document is displayed. In particular, some electronic devices can have limited user interfaces that do not provide for a simple or elegant interface for defining print settings. To overcome limitations in a displayed user interface, the orientation of an electronic device can be used to define the print orientation of a displayed document. In particular, a motion-sensing component of an electronic device can determine whether the electronic device display is in a portrait or landscape orientation, and define the page orientation of the displayed document to match the determined device orientation. The electronic device can then transmit the document, in the defined page orientation, to a printer system for printing in the desired page orientation."
9639859,"System, method and mobile communication terminal for displaying advertisement upon activation of mobile communication terminal","Disclosed is a method for providing an advertisement on a display of a mobile communication terminal, the method including: receiving an user input when the mobile communication terminal is capable of communication while the display of the mobile communication terminal is being off; and activating the display upon receiving the user input. The activated display provides an advertisement, an unlock interface, and an additional input interface thereon. The unlock interface is capable of receiving an additional user input whereby unlocks the mobile communication terminal upon receiving the additional user input thereof, and the additional input interface is capable of receiving an additional user input whereby the display displays an additional information related to the advertisement upon receiving the additional user input thereof."
9642280,Server,"A server for or accommodating a plurality of first expansion cards. The server includes a housing, a half-width motherboard, a connector and a dual-sided riser card. The half-width motherboard is disposed in the housing. The connector is disposed at a side edge of the half-width motherboard for connecting with one of the first expansion cards. The dual-sided riser card is electrically connected with the half-width motherboard for connecting with another two of the first expansion cards, the dual-sided riser card being substantially perpendicularly disposed at the half-width motherboard, wherein the projection of one of the first expansion cards connected with the dual-sided riser card and the projection of the first expansion card connected with the connector are overlapped at the housing."
9645824,"Branch target address cache using hashed fetch addresses","An integrated circuit incorporates prefetch circuitry for prefetching program instructions from a memory. The prefetch circuitry includes a branch target address cache. The branch target address cache stores data indicative of branch target addresses of previously encountered branch instructions fetched from the memory. For each previously encountered branch instructions, the branch target address cache stores a tag value indicative of a fetch address of that previously encountered branch instruction. The tag values stored are generated by tag value generating circuitry which performs a hashing function upon a portion of the fetch address such that the tag value has a bit length less than the bit length of the portion of the fetch address concerned."
9648068,"Partitionable unifiers in distributed streaming platform for real-time applications","Software for a distributed streaming platform receives an application that runs on a streaming platform. The application is structured as a directed acyclic graph (DAG) with operators as nodes and streams as edges between nodes. The application includes an operator that receives a plurality of values, counts the values that are unique, and emits the unique values in a stream. The software partitions the operator into at least two partitioned instances. Then the software assigns a unique value emitting from a partitioned instance to one of a plurality of unifiers according to a pre-defined scheme. Each unifier creates a count of the unique values received by the unifier. Then the software transmits the counts from each of the unifiers to a downstream instance of an operator that aggregates the counts into a sum. And the software displays the sum in a graphical user interface (GUI)."
9652609,"Entry/exit architecture for protected device modules","The entry/exit architecture may be a critical component of a protection framework using a secure enclaves-like trust framework for coprocessors. The entry/exit architecture describes steps that may be used to switch securely into a trusted execution environment (entry architecture) and out of the trusted execution environment (exit architecture), at the same time preventing any secure information from leaking to an untrusted environment."
9652665,"Identification and de-identification within a video sequence","A method and system for de-identifying a video sequence are provided. The method may include the steps of capturing a video sequence, comprising a number of individual frames, including one or more users performing one or more actions, and using activity recognition to recognize one of the one or more actions. One or more of the plurality of frames may be defined as comprising the recognized one or more actions, and a portion of the one or more of the plurality of frames may be identified to remain visible. The non-identified portions of the one or more of the plurality of frames and the non-defined frames may be de-identified. This method may be applied to the determine of whether a user has ingested a medication pill."
9652741,"Desktop application for access and interaction with workspaces in a cloud-based content management system and synchronization mechanisms thereof","Systems and methods for synchronizing workspaces in a web-based collaboration environment with local folders on computers of collaborators of the workspaces are disclosed. Collaborators of a workspace can edit copies of work items either at the collaboration environment server or at the computer. Updates to all synchronized folders are automatically performed. Conflicts between edits made by different collaborators to the same file are flagged, and a notification is sent to the author attempting to make edits to a version of a file that has already been updated by another collaborator."
9654538,"Dynamic partitioning of instances in distributed streaming platform for real-time applications","Software for a distributed streaming platform monitors a first operator instance in a container for an application running on a distributed streaming platform over a networked cluster of servers. The first operator instance includes an input port that receives streaming windows from an upstream instance and an output port that emits streaming windows to a downstream instance. And the monitoring includes determining a window identifier for a streaming window which the first operator instance is processing. The software reports results of the monitoring to a master and receives a dynamic adjustment from the master. The dynamic adjustment includes launching a second operator instance of the same operator in the container. The software resumes a flow of streaming windows into the input port and the output port according to first recovery policy for the first operator instance and a second recovery policy for the second operator instance."
9655285,"Power supply system and method of managing the same","A power supply system for a data center includes a cooling circuit, an electrochemical power generator, a sensor, and a processor. The cooling circuit includes a fluid configured to receive heat energy generated by a server located in the data center. The electrochemical power generator is configured to receive and/or generate the fluid of the cooling circuit and to generate electrical energy for the server using the fluid. The sensor is configured to obtain data regarding the server. The processor is configured to control an amount of heat energy transferred from the server to the fluid based on the data."
9659118,"X-propagation in emulation","Embodiments relate to the emulation of circuits, and representation of unknown states of signals. A disclosed system (and method and computer program product) includes an emulation environment to convert a digital signal of a DUT in a form capable of representing an unknown state. In addition, the disclosed system converts digital logic circuits such as Boolean logic, flip flops, latches, and memory circuits to be operable with signals having unknown states. Thus, an unknown state of a signal is indicated and propagated through digital logic circuits represented in a disclosed semantic to enable prompt detection of improper operation of the DUT, for example, due to power shut down or inadequate initialization."
9659155,"System and method for software activation and license tracking","System and method for software activation and further tracking of its states on an end-user computing device (computer) was developed to provide software developers a flexible and secure tool for software distribution and gathering statistics of usage of software activation. The method consists of the following logical steps: (a) obtaining an acquisition confirmation; (b) requesting for a license; (c) issuing and delivering the license to End User; (d) verification of license on the User's computer; (e) storing the license on the User's computer; (f) periodic tracking of activation state, (g) another action with the User's license."
9665305,"Tiering data between two deduplication devices","In one aspect, a method includes moving metadata from a memory of a first deduplication device to a disk of the first deduplication device, moving the data related to the metadata or portions of the data to a second deduplication device, deleting the data from the first deduplication device and adding a pointer to the metadata at the first deduplication device indicating where the data is in the second deduplication device."
9665359,"Automatically resolving conflicts after installation of selected updates in a computer system","An update installer generates an update display for a user that allows the user to select updates to be applied to a computer system. Conflicts that arise because of application of the updates to the computer system are automatically resolved and the results of the conflict resolution are displayed."
9665532,"Performing synchronized collective operations over multiple process groups","Methods and arrangements for performing synchronized collective operations. Communication calls are accepted from at least two distinct processor groups. Edge disjoint spanning paths are created over a collective comprising the processor groups, and the spanning paths are assigned to the processor groups to facilitate communication within each processor group."
9672274,"Scalable message aggregation","Methods and systems for scalable message aggregation are described. A method may include receiving data to store in a message queue implemented on a partitioned distributed data store. The method may also include storing the data in one or more partitions of the message queue. The method may further include aggregating the stored data into a batch."
9675289,"Method and glucose monitoring system for monitoring individual metabolic response and for generating nutritional feedback","A system and method for monitoring individual metabolic response and for generating nutritional feedback involve monitoring of a glucose level in a qualified subject. The method comprises the step of consecutively performing a plurality of measurements of a glucose level in the qualified subject by a measuring device. In the measuring device first data corresponding to the measured glucose level is generated. This data is further transmitted to an analysis device. There, second data is generated representing at least one measure for variability of a glucose level of the subject from a time-series of glucose measurements represented by the first data. The second data is compared with reference data and a result of the comparison is further processed for generating a conclusion about nutritional quality of foodstuffs consumed by the subject and/or about a risk of long-term health complications of the subject. Finally, feedback is provided corresponding to the conclusion on an output device."
9678680,"Forming a protection domain in a storage architecture","In one aspect, a method includes generating a plurality of protection domains of software-defined storage, generating a volume in each protection domain and exposing the volumes as devices in a storage architecture which generates a RAID protection over the exposed volumes. In another aspect, an apparatus includes electronic hardware circuitry configured to generate a plurality of protection domains of software-defined storage, generate a volume in each protection domain and expose the volumes as devices in a storage architecture which generates a RAID protection over the exposed volumes. In a further aspect, an article includes a non-transitory computer-readable medium that stores computer-executable instructions. The instructions cause a machine to generate a plurality of protection domains of software-defined storage, generate a volume in each protection domain and expose the volumes as devices in a storage architecture which generates a RAID protection over the exposed volumes."
9678825,"Autonomous reconfiguration of a failed user action","A processor determines that a requested action is a failed action. The processor determines that the failed action is a valid action. The processor determines that the failed action is not properly configured. The processor generates a reconfigured action by reconfiguring the failed action. The reconfiguration of the failed action includes one or both of a) changing the preconditions of the failed action, or b) creating a recovery path in addition to the failed action."
9678879,"Set partitioning for encoding file system allocation metadata","Methods for encoding file system metadata are described herein. According to one embodiment, a file system cache is maintained including information representing relationships between inodes and disk blocks of a disk having disk sections. Each disk section includes a data segment and a header encoding metadata for describing the data section of each disk section. The metadata is encoded using a set partitioning algorithm and each set represents a set of disk blocks. In response to a file system request for reading a disk section, metadata associated with the disk section is retrieved and decoded to extract information representing a relationship between inodes and disk blocks associated with the requested disk section. The file system request is then serviced using the decoded metadata and the associated data segment and one or more entries of the file system cache are updated using the decoded metadata."
9679605,"Variable playback speed template for video editing application","A playback speed effect is applied to a video using a playback speed template. The playback speed template specifies playback speed ratios (i.e., ratios between playback duration and capture duration) at the highlight moment, at a template start time, and at a template end time. A video associated with a highlight tag indicating a highlight capture time of a highlight moment within the video is accessed. An input portion of the video including the highlight moment is identified. The duration of the input portion has a duration depending on the template start time and the template end time. A playback speed template is applied to the input portion. A modified video including a modified video portion is generated from the input portion of the video according to the applied playback speed template and is provided for subsequent playback."
9684821,"Method and apparatus for user recognition","A method for user recognition, comprising receiving user information from an information unit of a user; detecting the user face in a captured user image; and recognizing the user identity in the captured image according to a predetermined gesture associated with the user information and performed by the user."
9686121,"Client-premise resource control via provider-defined interfaces","Methods and apparatus for client-premise resource control using provider-defined interfaces are described. A set of programmatic interfaces enabling clients to submit registration requests is implemented. A registration request indicates resources located at a data center external to a provider network as candidate targets for control operation requests issued via a different set of programmatic interfaces associated with a service of the provider network. A network connection is established between a particular resource indicated in a registration request, and an administrative resource located within a data center of the provider network. In response to a particular control operation request received via a programmatic interface of the different set, a control command is transmitted from the administrative resource to the particular resource via the network connection."
9686145,"Adaptive user interface for multi-source systems","A mufti-source client-host system that maintains a uniform look &#x26; feel user interface, including a host device including a central processing unit, a storage memory for storing look &#x26; feel parameters for a graphical user interface, the graphical user interface employing a plurality of graphic images for user interaction, and a display for displaying the graphic images employed by the graphical user interface, a client device that can be attached to and detached from the host device, including a central processing unit, and a configuration program for generating at least one of the graphic images employed by the graphical user interface, the at least one of the graphic images conforming to the look &#x26; feel parameters, and a communication channel between the host transceiver and the client transceiver, for data transmission."
9690334,"Adaptive visual output based on change in distance of a mobile device to a user","Systems, storage medium, and methods associated with adaptive visual output on a mobile device are disclosed herein. In embodiments, a storage medium may have instructions to enable the mobile device to determine a change in a distance between the mobile device and a user of the mobile device. The instruction may also enable the mobile device to operate an end-user application that may adaptively present a visual output based at least in part on a result of the change in the distance. Other embodiments may be disclosed or claimed."
9690510,"Two-stage read/write 3D architecture for memory devices","Some embodiments of the present disclosure relate to a memory device wherein a single memory cell array is partitioned between two or more tiers which are vertically integrated on a single substrate. The memory device also includes support circuitry including a control circuit configured to read and write data to the memory cells on each tier, and a shared input/output (I/O) architecture which is connected the memory cells within each tier and configured to receive input data word prior to a write operation, and further configured to provide output data word after a read operation. Other devices and methods are also disclosed."
9693164,"Determining direction of networked microphone device relative to audio playback device","Example techniques involve determining a direction of an NMD. An example implementation includes causing two audio drivers to output audio content, where the audio drivers are positioned at a known distance apart in a given azimuthal plane and recording the audio content output by the two audio drivers. The implementation also includes causing a processing device to identify a direction of the NMD relative to a center point of the two audio drivers in the given azimuthal plane. Identifying the direction of the NMD may involve determining a range of possible azimuthal angles between the NMD and the center point, the range of possible angles dependent upon the known distance between the two audio drivers and a phase offset between the two audio drivers indicated by the recorded audio content output. The implementation further includes causing a playback device to adjust calibration based on the identified direction of the NMD."
9693592,"Attaching electronic components to interactive textiles","This document describes techniques and apparatuses for attaching electronic components to interactive textiles. In various implementations, an interactive textile that includes conductive thread woven into the interactive textile is received. The conductive thread includes a conductive wire (e.g., a copper wire) that that is twisted, braided, or wrapped with one or more flexible threads (e.g., polyester or cotton threads). A fabric stripping process is applied to the interactive textile to strip away fabric of the interactive textile and the flexible threads to expose the conductive wire in a window of the interactive textile. After exposing the conductive wires in the window of the interactive textile, an electronic component (e.g., a flexible circuit board) is attached to the exposed conductive wire of the conductive thread in the window of the interactive textile."
9697043,"Methods and computer systems for performance monitoring of tasks","Computer system including storage unit and processing unit including performance monitoring unit (PMU) for performance monitoring on tasks is provided. Processing unit is configured to provide a callback function at location at which a task switch is being performed, reset a counter for external access counting of PMU when first task switch which is to switch execution of tasks to first task occurs, read counted value from counter and record read value into a log of storage unit as record of first task when second task switch which is to switch execution of tasks from first task to second task occurs, and reset counter for second task after log is generated. Records of first task in log within a predetermined time period are summed to analyze performance of first task within predetermined time period so as to determine performance of external access of first task for specific event."
9697045,"Selecting resource allocation policies and resolving resource conflicts","Techniques for workload management in cloud computing infrastructures are provided. In one aspect, a method for allocating computing resources in a datacenter cluster is provided. The method includes the steps of: creating multiple, parallel schedulers; and automatically selecting a resource allocation method for each of the schedulers based on one or more of a workload profile, user requirements, and a state of the datacenter cluster, wherein an optimistic resource allocation method is selected for at least a first one or more of the schedulers and a pessimistic resource allocation method is selected for at least a second one or more of the schedulers. Due to optimistic resource allocation conflicts may arise. Methods to resolve such conflicts are also provided."
9697300,"Graph syntax validation system and method","A graph syntax validation system, method, or computer-readable medium that receives: (i) an input graph, (ii) transformation rules, and (iii) a minimal valid graph. The system/method/computer-readable medium transforms the input graph into the minimal valid graph using the transformation rules that are comprised of source patterns and target patterns. The system/method/computer-readable medium recurrently transforms the input graph until either the input graph has been reduced to the minimal valid graph indicating that the input graph uses a valid syntax, or until it is determined that one or more transformation rules do not match the input graph indicating that the input graph uses an invalid syntax."
9699192,"True-ownership of shared data","A method for managing a data item includes a hub receiving a first access request from a first engine executing on a computing device operated by a first host and sending the first access request to a second engine executing on a first computing device of a second host. The second host owns the data item. The hub receives, from the second engine, the data item and an access rule set by the second host for the first host, and sends the first access rule and the data item to the first engine for storage. The first engine grants the first host access to the data item according to the first access rule."
9704333,"Method of gaming, a game controller and a gaming system","A method of gaming at a gaming machine. The method includes designating a symbol display position of a plurality of symbol display positions as having a bonus symbol set applying to it for a game round, and selecting and displaying a symbol from the bonus symbol set at the designated symbol display position. The method also includes selecting symbols for display at the other symbol display positions from a base symbol set independently of the selection of the symbol from the bonus symbol set, and evaluating the symbols displayed at the plurality of symbol display positions to determine whether to make an award for the game round."
9709956,"Tactile switch for an electronic device","Embodiments are directed to a watch having a touch-sensitive display and a switch assembly positioned along or within an enclosure. The switch assembly includes a shaft extending into an opening of the enclosure and is configured to receive rotational and translational input. A switch, positioned within the enclosure, is configured to detect the translational input. An optical sensor, positioned within the enclosure, is configured to detect the rotational input. The watch also includes a processor positioned within the enclosure and configured to modify a graphical output of the display. The graphical output may be responsive to various inputs, including a touch input provided at the display, the translational input provided at the switch assembly, and the rotational input provided at the switch assembly."
9710015,"Wearable computer system","A wearable computer system that provides for convenient and efficient use of all fingers while the user is standing, reclining or using hands intermittently for other tasks. The central unit hangs from a neck strap and communicates with a head mounted display. The central unit's front surface has keys, accessible from opposite edges by each hand. Typing is similar to the traditional, but rotated 90 degrees on each side. Keys are individually assignable to any letter, symbol, musical note, color, action, or macro. Back panels have thumb keys and controls, and can be modified to accept alternate thumb controls and additional hardware, such as sensors, circuits, cameras, and auxiliary connectors for specific tasks such as musical instrument performance or augmented reality game play. Smartphones, can be incorporated within or connected to the central unit. Desktop use can be accomplished by unfolding the panels of one embodiment."
9710093,"Pressure sensitive key normalization","Pressure sensitive key techniques are described. In one or more implementations, a device includes at least one pressure sensitive key having a flexible contact layer spaced apart from a sensor substrate by a spacer layer, the flexible contact layer configured to flex responsive to pressure to contact the sensor substrate to initiate an input, for a computing device, associated with the pressure sensitive key. At least one of the flexible contact layer or the sensor substrate are configured to at least partially normalize an output resulting from pressure applied at a first location of the flexible contact layer with an output resulting from pressure applied at a second location of the flexible contact layer that has lesser flexibility than the first location."
9710208,"System and method for visualizing relationships between a source view and a target view","A method for visualizing relationships between a source and target view includes displaying in the source view a source widget representing a source object; detecting a user interaction event for the source widget; sharing a message including a reference to or at least part of the source object; displaying in the target view a target widget representing a target object; reading by a target device that displays the target view the shared message; determining the existence of a relationship between the source and target object by looking-up in a storage the referenced or the at least part of the source object from the shared message; and updating the target view by changing the visual appearance if a relationship has been determined. The source and target object each are one of a printable object, a reprographic device or component thereof, and a property or status of any of the these."
9710407,"Congestion control in storage systems","An I/O request directed to a portion of a storage object managed at a distributed storage service is received. A congestion control parameter value to be used to schedule a storage operation corresponding to the I/O request is determined. The congestion control parameter is based at least in part on an offset within the storage object to which the I/O request is directed. The storage operation is scheduled in accordance with the congestion control parameter at a selected physical storage device to which the portion of the storage object is mapped."
9710597,"Bioinformatic processing systems and methods","The present disclosure relates to systems and methods for facilitating trusted handling of genomic and/or other bioinformatic information. Certain embodiments may facilitate policy-based governance of access to and/or use of bioinformatic information, improved interaction with and/or use of distributed bioinformatic information, parallelization of various processes involving bioinformatic information, and/or reduced user involvement in bioinformatic workflow processes, and/or the like. Further embodiments may provide for memoization processes that may persistently store final and/or intermediate results of computations performed using genomic data for use in connection with future computations."
9710756,"Systems and methods for page recommendations based on page reciprocity","Systems, methods, and non-transitory computer readable media configured to determine whether a candidate content item may be presented in response to an indication of approval by a user regarding a seed content item according to a first technique. It is determined whether the seed content item may be presented in response to an indication of approval by the user regarding the candidate content item according to a second technique. Features, including a reciprocity feature based on the determining whether a candidate item may be presented and the determining whether the seed content item may be presented, are processed to generate a probability that the user will interact with the candidate content item."
9711541,"Display panel and method for forming an array substrate of a display panel","The present disclosure provides a display panel and a method for forming an array substrate of a display panel. The display panel includes an array substrate which includes a display region and a frame region. The frame region includes a wire region in which first signal wires are formed. Each of the first signal wires includes a first conductive layer and a second conductive layer which are stacked with each other and electrically connected. As such, to obtain the same resistance value as that in prior art, the first signal wires in the present disclosure can be formed with a reduced width. Therefore, the wire region of the array substrate can have a smaller size, and thus the whole frame region of the display panel can be smaller."
9712586,"Prioritization in a continuous video playback experience","Methods, systems, and apparatus can provide ordered (e.g. ranked) lists of content items as a suggested list of items to watch. The ordered list can be based on feedback from other users. The content items can also be presented (e.g. in a continuous playback mode) to a passive user so that the user does not have to actively select a next item to watch. This passive mode can select a next item (e.g. from a list that is updated based on recent user feedback), and the item can be queued on a client device for playing to a user. Content items can also be provided from different independent servers."
9712884,"Methods and systems for generating and providing program guides and content","Systems and methods for identifying, assembling, and publishing content are described. A content item, such as a video, having a first time length, is identified by a system to be included in a program scheduled for a first time period. The video may be hosted on a third party system. A first span of time within the first program is allocated for the video, wherein the first span of time is longer than the first time length. The system determines, prior to or at the first time period, a time difference between a current length of the video and the first span of time. At least partly in response to determining that the video has a time length shorter than the first span of time, the system selects supplemental content based at least in part of the determined time difference to be streamed to user terminals over a data network within the first time period."
9716632,"Interactive layered visualization of a layered software architecture","A system to generate an interactive layered visualization of a software system includes a storage device to storage a model of the system that defines entities and relationships among entities. The system also includes a visualization tool to generate nodes representing the entities and assign nodes to layers in a set of ordered layers in accordance with rules associated with each layer. A layered layout of the software system is thereby generated and an interactive visualization of the layered layout is rendered for display to the user."
9720235,"See-through computer display systems","Aspects of the present invention relate to methods and systems for the see-through computer display systems with a wide field of view."
9720769,"Storage parameters for a data storage device","A method of operating a data storage device having a memory includes reading error location data associated with a first region of the memory. The memory includes the first region and a second region. The method also includes generating one or more parameters based on the error location data. The method includes receiving data to be written to the memory and encoding the data to produce a codeword. The method also includes partitioning the codeword based on the one or more parameters to generate a first portion and a second portion. The method further includes performing a write operation to store the first portion at the first region and to store the second portion at the second region."
9721084,"System for controlling access to an account","An account management server, a communication device and a service device are provided for managing access to an account. The account management server, for example, includes, but is not limited to, a storage device configured to store identifying information for each of a plurality of service devices and configured to store an account associated with each of the plurality of service devices, and a processor communicatively coupled to the storage device, wherein the processor is configured to: receive identifying information from a communication device; identify at least one service device whose stored identifying information matches the received identifying information; and grant management access to the account associated with the identified at least one service device to the communication device."
9721938,"Integrated circuit containing first and second DOEs of standard cell compatible, NCEM-enabled fill cells, with the first DOE including tip-to-tip short configured fill cells, and the second DOE including corner short configured fill cells","An IC includes first and second designs of experiments (DOEs), each comprised of at least two fill cells. The fill cells contain structures configured to obtain in-line data via non-contact electrical measurements (&#x201c;NCEM&#x201d;). The first DOE contains fill cells configured to enable non-contact (NC) detection of tip-to-tip shorts, and the second DOE contains fill cells configured to enable NC detection of corner shorts."
9723119,"Reduction of haptic noise feedback in system","An information handling system has a haptic generation module to generate haptic effects including haptic noise and a haptic noise reduction module. The haptic noise reduction module receives characteristics of sound representative of haptic noise generated by a haptic generation module of a device and entering an audio input module of the device, the characteristics including frequencies and timing. It also detects the generation of haptic effects, the generations occurring after the receiving characteristics. It also reduces the effects of haptic noise on digital data representing audio input to the device based upon the received characteristics of the sound. It may reduce the effects by subtracting amplitudes of audio waves representing the haptic noise from amplitudes of audio waves representing the audio input."
9727033,"Method for producing PLC and HMI tag database and system","A method and system for producing a plc tag database is provided. The method is for use with a set of fragment types, a set of tag values for each fragment type and a collection of PLC programming logic. The collection contains a PLC programming code for each of a plurality of classes of equipment. A PLC tag database is produced for a project. The classes of equipment required for the project are selected together with a quantity required for each class of equipment selected. A PLC logic associated with the PLC programming code for said each class, and tags defined by the PLC logic, are replicated a number of times equal to the quantity of each class selected. A specific PLC card type, rack and slot is assigned to selected tags in accordance with the requirements of the project."
9727160,"Displacement detection device and operating method thereof","There is provided a displacement detection device including a light source, an image sensor and a processing unit. The light source provides light to a finger with a light source parameter. The image sensor receives reflected light from the finger, outputs valid images when the light source is being turned on and outputs dark images when the light source is being turned off. The processing unit determines a contact status according to one of the dark images and one of the valid images, and calculates a displacement according to two of the valid images to accordingly adjust the light source parameter."
9727261,"Weighted programming patterns in solid-state data storage systems","Systems and methods are disclosed for programming data in non-volatile memory arrays. A data storage device includes a solid-state non-volatile memory including a plurality of memory cells and a controller configured to improve data retention or reduce read disturb of at least a portion of the solid-state non-volatile memory at least in part by receiving data to be written to the solid-state non-volatile memory. The controller is further configured to, when a data retention programming mode is set, encode the data using a programming pattern that favors a first programming state over a second programming state, the first programming state being associated with a lower voltage level than the second programming state, and write the encoded data to the solid-state non-volatile memory. When a read disturb programming mode is set, the first programming state is associated with a higher voltage level than the second programming state."
